,City,Country,Longitude,Latitude,Date,Cloudiness,Temperature Max,Humidity,Wind speed
0,torbay,CA,-52.73,47.66,1551153763,75.0,30.99,92.0,14.99
1,hermanus,ZA,19.24,-34.42,1551153751,56.0,66.99,93.0,5.99
2,bredasdorp,ZA,20.04,-34.53,1551153751,64.0,66.99,93.0,5.99
3,grindavik,IS,-22.43,63.84,1551151800,90.0,44.6,100.0,11.41
4,barrow,AR,-60.23,-38.31,1551154221,32.0,48.33,69.0,11.32
5,surt,LY,16.59,31.21,1551154222,92.0,53.73,100.0,9.98
6,attawapiskat,,,,,,,,
7,awbari,LY,12.77,26.59,1551154222,0.0,37.71,85.0,2.82
8,denpasar,ID,115.22,-8.65,1551150000,20.0,87.8,74.0,10.29
9,provideniya,RU,-173.23,64.42,1551151800,90.0,32.0,93.0,26.84
10,ushuaia,AR,-68.31,-54.81,1551153600,40.0,46.4,81.0,32.21
11,rincon,US,-81.24,32.3,1551154104,1.0,53.01,75.0,3.6
12,kodiak,US,-94.76,39.95,1551154129,90.0,28.99,33.0,18.34
13,nuevo casas grandes,MX,-107.91,30.42,1551154144,24.0,40.64,44.0,6.4
14,kruisfontein,ZA,24.73,-34.0,1551154223,12.0,61.56,84.0,8.86
15,barawe,,,,,,,,
16,sisimiut,GL,-53.67,66.94,1551153959,80.0,1.08,88.0,1.14
17,saleaula,,,,,,,,
18,mataura,NZ,168.86,-46.19,1551154206,12.0,64.0,65.0,10.0
19,ondangwa,NA,15.98,-17.91,1551150000,44.0,78.8,44.0,8.05
20,ribeira grande,PT,-28.7,38.52,1551154224,36.0,55.71,100.0,30.22
21,fortuna,ES,-1.13,38.18,1551154223,0.0,46.99,65.0,5.82
22,hithadhoo,MV,73.08,-0.6,1551154224,88.0,78.75,100.0,8.97
23,kavieng,PG,150.8,-2.57,1551154224,32.0,81.54,100.0,6.4
24,gimli,CA,-96.99,50.63,1551154205,0.0,-7.01,75.0,3.0
25,saint george,GR,22.34,39.45,1551153801,20.0,37.4,64.0,9.17
26,punta arenas,CL,-70.91,-53.16,1551153795,40.0,50.0,81.0,21.92
27,bacungan,PH,118.73,9.87,1551153600,20.0,87.8,55.0,17.22
28,shelburne,CA,-80.2,44.08,1551154209,90.0,18.0,67.0,13.87
29,sarahan,IN,77.79,31.51,1551154226,64.0,3.47,90.0,0.81
30,mangrol,IN,76.51,25.33,1551154226,64.0,61.11,50.0,1.03
31,dunedin,NZ,170.5,-45.87,1551153703,24.0,64.99,65.0,7.0
32,smolensk,RU,32.05,54.79,1551153936,92.0,32.72,93.0,14.0
33,taolanaro,,,,,,,,
34,tumannyy,,,,,,,,
